Kecamatan,Desa,Pos Pengungsi,target_beras_kg_hari,target_mie_instan_bks_hari,target_minyak_kg_hari,target_protein_kg_hari,target_mpasi_pkt_hari,target_air_bersih_ltr_hari,target_air_minum_ltr_hari,target_air_botol600ml_hari,target_keran_air,target_luas_shelter_m2,target_alas_tidur,target_luas_lahan_m2,target_tempat_sampah_100l,target_tempat_sampah_besar,target_jamban,target_tempat_cuci,target_panci_baskom_pkt,target_ember_jerigen_pkt,target_kompor,target_sabun_mandi_bln,target_sabun_cuci_bln,target_pembalut_bln,target_popok_bayi_bln,target_sikat_pasta_gigi_bln
Pacet,Cipendawa,Posko Babakan,186.4,2330,9.32,23.3,47,6990,1165.0,2330,3,1398,466,13980,10,1,24,5,107,107,107,466,466,261,564,466
Pacet,Ciputri,Babakan Nagrog,169.6,2120,8.48,21.2,56,6360,1060.0,2120,3,1272,424,12720,9,1,22,5,117,117,117,424,424,205,672,424
Pacet,Ciputri,posko saronge pabrik rw6,100.0,1250,5.0,12.5,14,3750,625.0,1250,2,750,250,7500,5,1,13,3,225,225,225,250,250,128,168,250
Pacet,Ciputri,SARONGE CEMPAKA RT 02 RW 06,63.2,790,3.16,7.9,12,2370,395.0,790,1,474,158,4740,4,1,8,2,51,51,51,158,158,74,144,158
Pacet,Ciputri,SARONGE RT 02 RW 09,156.4,1955,7.82,19.55,48,5865,977.5,1955,2,1173,391,11730,8,1,20,4,120,120,120,391,391,271,576,391
Warungkondang,Bunikasih,posko 1 kp warung,62.8,785,3.14,7.85,20,2355,392.5,785,1,471,157,4710,4,1,8,2,53,53,53,157,157,85,240,157
Warungkondang,Bunikasih,posko 2 kp. padalengsar,120.0,1500,6.0,15.0,42,4500,750.0,1500,2,900,300,9000,6,1,15,3,70,70,70,300,300,160,504,300
Warungkondang,Bunikasih,posko 3 kp. padalengsar rt 03/08,100.0,1250,5.0,12.5,32,3750,625.0,1250,2,750,250,7500,5,1,13,3,55,55,55,250,250,140,384,250
Warungkondang,Bunikasih,posko 4 kp. legok,86.0,1075,4.3,10.75,26,3225,537.5,1075,2,645,215,6450,5,1,11,3,76,76,76,215,215,108,312,215
Warungkondang,Bunisari,posko 1,59.2,740,2.96,7.4,13,2220,370.0,740,1,444,148,4440,3,1,8,2,49,49,49,148,148,76,156,148
Warungkondang,Bunisari,posko 1,33.2,415,1.66,4.15,9,1245,207.5,415,1,249,83,2490,2,1,5,1,25,25,25,83,83,43,108,83
Warungkondang,Bunisari,posko 3 kp. buni kasih rt 01/06,14.8,185,0.74,1.85,3,555,92.5,185,1,111,37,1110,1,1,2,1,8,8,8,37,37,17,36,37
Warungkondang,Bunisari,posko 8 kp mandu,51.6,645,2.58,6.45,43,1935,322.5,645,1,387,129,3870,3,1,7,2,61,61,61,129,129,47,516,129
Warungkondang,Bunisari,posko 9 rw 08,106.0,1325,5.3,13.25,44,3975,662.5,1325,2,795,265,7950,6,1,14,3,100,100,100,265,265,135,528,265
Warungkondang,Bunisari,posko kp. bojong,18.0,225,0.9,2.25,5,675,112.5,225,1,135,45,1350,1,1,3,1,27,27,27,45,45,43,60,45
Warungkondang,Cieundeur,Cieundeur Rt.01,72.8,910,3.64,9.1,3,2730,455.0,910,1,546,182,5460,4,1,10,2,56,56,56,182,182,90,36,182
Warungkondang,Cieundeur,Kp.ciendeur Rt.03/03,136.8,1710,6.84,17.1,45,5130,855.0,1710,2,1026,342,10260,7,1,18,4,90,90,90,342,342,166,540,342
Warungkondang,Cieundeur,Kp.Cieundeur,72.8,910,3.64,9.1,3,2730,455.0,910,1,546,182,5460,4,1,10,2,56,56,56,182,182,90,36,182
Warungkondang,Cieundeur,Kp.Cirandu RT.01/03,67.6,845,3.38,8.45,33,2535,422.5,845,1,507,169,5070,4,1,9,2,52,52,52,169,169,87,396,169
Warungkondang,Cikaroya,Kp.cipadabg kalapa RT.04/04,69.2,865,3.46,8.65,28,2595,432.5,865,1,519,173,5190,4,1,9,2,56,56,56,173,173,85,336,173
Warungkondang,Cikaroya,Kp.Cipadangkalapa RT.,42.8,535,2.14,5.35,72,1605,267.5,535,1,321,107,3210,3,1,6,2,63,63,63,107,107,57,864,107
Warungkondang,Cikaroya,Kp.cipadangkalapa RT.01/01,128.0,1600,6.4,16.0,27,4800,800.0,1600,2,960,320,9600,7,1,16,4,87,87,87,320,320,155,324,320
Warungkondang,Cikaroya,RT.03/06 KP. CIBENDA CIKAROYA,65.2,815,3.26,8.15,24,2445,407.5,815,1,489,163,4890,4,1,9,2,58,58,58,163,163,80,288,163
Warungkondang,Cikaroya,Rt.04/06 Kp. cibenda cikaroya,64.8,810,3.24,8.1,12,2430,405.0,810,1,486,162,4860,4,1,9,2,67,67,67,162,162,70,144,162
Warungkondang,Cisarandi,Cipaku rt 01,14.4,180,0.72,1.8,3,540,90.0,180,1,108,36,1080,1,1,2,1,11,11,11,36,36,17,36,36
Warungkondang,Cisarandi,Posko 7 cisarqndi,34.4,430,1.72,4.3,8,1290,215.0,430,1,258,86,2580,2,1,5,1,35,35,35,86,86,47,96,86
Warungkondang,Cisarandi,Posko bromob rw 01,40.0,500,2.0,5.0,10,1500,250.0,500,1,300,100,3000,2,1,5,1,50,50,50,100,100,75,120,100
Warungkondang,Ciwalen,Posko,128.4,1605,6.42,16.05,50,4815,802.5,1605,2,963,321,9630,7,1,17,4,99,99,99,321,321,179,600,321
Warungkondang,Ciwalen,Posko 2 bantu kawan,80.0,1000,4.0,10.0,77,3000,500.0,1000,1,600,200,6000,4,1,10,2,70,70,70,200,200,97,924,200
Warungkondang,Jambudipa,Jambudipa,73.6,920,3.68,9.2,13,2760,460.0,920,1,552,184,5520,4,1,10,2,60,60,60,184,184,89,156,184
Warungkondang,Jambudipa,Kp.Gentur RT.02/06,692.4,8655,34.62,86.55,31,25965,4327.5,8655,9,5193,1731,51930,35,4,87,18,360,360,360,1731,1731,786,372,1731
Warungkondang,Jambudipa,Lame Kohok,74.8,935,3.74,9.35,20,2805,467.5,935,1,561,187,5610,4,1,10,2,47,47,47,187,187,91,240,187
Warungkondang,Jambudipa,Lapang jagaraksa jambudipa,122.0,1525,6.1,15.25,37,4575,762.5,1525,2,915,305,9150,7,1,16,4,156,156,156,305,305,151,444,305
Warungkondang,Jambudipa,SD Jambudipa 3,80.8,1010,4.04,10.1,16,3030,505.0,1010,2,606,202,6060,5,1,11,3,60,60,60,202,202,99,192,202
Warungkondang,Sukamulya,Posko Benteng,22.4,280,1.12,2.8,2,840,140.0,280,1,168,56,1680,2,1,3,1,7,7,7,56,56,33,24,56
Warungkondang,Sukamulya,Posko rw 05 rt 02,37.2,465,1.86,4.65,15,1395,232.5,465,1,279,93,2790,2,1,5,1,22,22,22,93,93,50,180,93
Warungkondang,Sukamulya,Posko sukamulya 3,38.4,480,1.92,4.8,17,1440,240.0,480,1,288,96,2880,2,1,5,1,29,29,29,96,96,37,204,96
Warungkondang,Tegallega,Padakati,64.8,810,3.24,8.1,16,2430,405.0,810,1,486,162,4860,4,1,9,2,60,60,60,162,162,0,192,162
Warungkondang,Tegallega,Tegalega Haurseah,111.6,1395,5.58,13.95,418,4185,697.5,1395,2,837,279,8370,6,1,14,3,87,87,87,279,279,130,5016,279
